Table V9.0,fnGetKeys.Key,fnGetKeys.Description,fnGetKeys.Duplicates,fnGetKeys.Activity code
AREPORTZ,ARZ0,CODPAR,No,
AROLE,ARL0,OBJ+ROL,No,
AROLE,ARL1,ROL+OBJ,No,
ASHW,ASW0,CODREP,No,
ASHWBLC,ASWB0,CODREP+CODBLC,No,
ASHWBLC,ASWB1,CODREP+NIVBLC+CODBLC,No,
ASHWCOL,ASWC0,CODREP+CODCOL,No,
ASHWEXPPRO,ASWR0,CODREP+ALIAS,No,
ASHWEXPPRO,ASWR1,CODREP+NUMPRO+CODPRO,Yes,
ASHWEXPPRO,ASWR2,CODREP+ORDPRO+NUMPRO+CODPRO,Yes,
ASHWEXPPRO,ASWR3,CODREP+CODPRO,Yes,
ASHWFLD,ASWF0,CODREP+CODFLD,No,
ASHWFLD,ASWF1,CODREP+NUMFLD+CODFLD,No,
ASHWFLD,ASWF2,CODREP+NUMFLD+NUMLIG+CODFLD,No,
ASHWLNK,ASWK0,CODREP+AFFLNK+ANCLNK+CODLNK,No,
ASHWLNK,ASWK1,CODREP+ANCLNK+ORDTECLNK+AFFLNK+MENLNK+CODLNK,Yes,
ASHWMENU,ASWMN0,CODREP+CODMENU,No,
ASHWMENU,ASWMN1,CODREP+PARMENU+ORDMENU+CODMENU,No,
ASHWMET,ASWM0,CODREP+CODMET,No,
ASHWMET,ASWM1,CODREP+NOMET+CODMET,No,
ASHWOPT,ASWO0,CODREP+OPTCOD,No,
ASHWPAR,ASWP0,CODREP+TYPPAR+TYPKEY+CODFLD+CODLNK+AFFLNK+CODPAR,No,
ASHWPAR,ASWP1,CODREP+TYPPAR+CODFLD+CODLNK+AFFLNK+NUMPAR+TYPKEY+CODPAR,Yes,
ASHWPARMET,ASWMP0,CODREP+CODMET+CODPARMET,No,
ASHWPARMET,ASWMP1,CODREP+CODMET+NOPARMET+CODPARMET,Yes,
ASHWSEC,ASWS0,CODREP+CODSEC,No,
ASHWSEC,ASWS1,CODREP+NIVSEC+CODSEC,No,
ASSCONF,,,,
ASTYLE,ASY0,COD,No,
ASTYLEC,ASL0,COD+LIG,No,
ASTYLEP,AYP0,CAT+LIG,No,
ASTYLEP,AYP1,CAT+COD,No,
ASUBPROG,ASU0,PRG+SUBPRG,No,
ASUBPROGD,ASP0,PRG+SUBPRG+LIGNE,No,
ASUBPROGD,ASP1,PRG+SUBPRG+PARAM,No,
ATABAUD,ATA0,CODFIC+NUMLIG,No,
ATABDIV,CODE,NUMTAB+CODE,No,
ATABIND,CODIND,CODFIC+CODIND,No,
ATABIND,NUMLIG,CODFIC+NUMLIG+CODIND,No,
ATABLE,CODFIC,CODFIC,No,
ATABLE,ABRFIC,ABRFIC,No,
ATABTAB,CODE,NUMTAB,No,
ATABZON,NUMLIG,CODFIC+NUMLIG+CODZONE,No,
ATABZON,CODZONE,CODFIC+CODZONE,No,
ATABZON,CODTYP,CODTYP+CODFIC+CODZONE,No,
ATABZON,LIEN,LIEN+CODFIC+CODZONE,No,
ATABZON,DICO,CODZONE,Yes,
ATEXMOD,ATM0,MODULE,No,
